timestamp_utc,temperature_C,pressure_hPa,altitude_m
2026-02-02T15:19:20Z,28.64,1014.65,-11.11
2026-02-02T15:20:51Z,28.55,1014.53,-10.78
2026-02-02T15:22:28Z,28.63,1014.63,-10.84
2026-02-02T15:24:34Z,28.6,1014.77,-10.27
2026-02-02T15:25:32Z,28.59,1014.73,-11.84
2026-02-02T15:26:32Z,28.57,1014.7,-12.29
2026-02-02T15:27:32Z,28.55,1014.76,-12.53
2026-02-02T15:28:32Z,28.57,1014.69,-13.09
2026-02-02T15:29:33Z,28.58,1014.81,-13.29
2026-02-02T15:30:33Z,28.62,1014.76,-13.18
2026-02-02T15:31:33Z,28.55,1014.83,-14.22
2026-02-02T15:32:33Z,28.63,1014.83,-13.39
2026-02-02T15:33:33Z,28.52,1014.76,-13.05
2026-02-02T15:33:50Z,28.55,1015.01,-13.75
2026-02-02T15:34:50Z,28.57,1014.92,-12.31
2026-02-02T15:35:51Z,28.52,1014.84,-13.73
2026-02-02T15:36:51Z,28.61,1014.9,-12.81
2026-02-02T15:37:51Z,28.53,1014.96,-14.45
2026-02-02T15:38:51Z,28.65,1014.84,-13.67
2026-02-02T15:39:51Z,28.62,1014.88,-13.14
2026-02-02T15:40:51Z,28.65,1014.9,-13.52
2026-02-02T15:41:51Z,28.51,1014.82,-13.45
2026-02-02T15:42:51Z,28.55,1014.86,-14.01
2026-02-02T15:43:52Z,28.55,1014.74,-14.61
2026-02-02T15:44:52Z,28.52,1014.91,-13.68
2026-02-02T15:45:52Z,28.6,1015.05,-12.64
2026-02-02T15:46:52Z,28.5,1014.91,-13.36
2026-02-02T15:47:52Z,28.53,1015.06,-13.0
2026-02-02T15:48:52Z,28.54,1014.81,-14.0
2026-02-02T15:49:52Z,28.57,1014.97,-14.4
2026-02-02T15:50:52Z,28.52,1014.91,-13.83
2026-02-02T15:51:53Z,28.54,1014.97,-14.7
2026-02-02T15:52:53Z,28.63,1014.89,-13.29
2026-02-02T15:53:53Z,28.54,1014.97,-13.58
2026-02-02T15:54:53Z,28.47,1014.77,-14.17
2026-02-02T15:55:53Z,28.53,1015.04,-14.45
2026-02-02T15:57:00Z,28.61,1014.74,-12.23
2026-02-02T15:58:00Z,28.54,1014.85,-13.56
2026-02-02T15:59:00Z,28.56,1014.87,-13.78
2026-02-02T16:00:00Z,28.61,1014.92,-16.1
2026-02-02T16:01:00Z,28.64,1014.92,-14.18
2026-02-02T16:02:00Z,28.57,1014.84,-12.44
2026-02-02T16:03:00Z,28.57,1014.97,-14.36
2026-02-02T16:04:01Z,28.56,1014.94,-12.39
2026-02-02T16:05:01Z,28.55,1014.8,-13.19
2026-02-02T16:06:01Z,28.51,1014.91,-14.0
2026-02-02T16:07:01Z,28.51,1015.08,-13.5
2026-02-02T16:08:01Z,28.47,1014.96,-15.04
2026-02-02T16:09:01Z,28.51,1015.08,-14.94
2026-02-02T16:10:01Z,28.69,1014.98,-15.16
2026-02-02T16:11:01Z,28.53,1014.99,-13.41
2026-02-02T16:12:02Z,28.42,1015.04,-14.13
2026-02-02T16:13:02Z,28.45,1015.01,-14.17
2026-02-02T16:14:02Z,28.5,1015.02,-15.55
2026-02-02T16:15:02Z,28.46,1015.0,-15.67
2026-02-02T16:16:02Z,28.48,1015.16,-15.63
2026-02-02T16:17:02Z,28.41,1015.02,-14.72
2026-02-02T16:18:02Z,28.54,1014.98,-13.57
2026-02-02T16:19:02Z,28.45,1015.11,-14.55
2026-02-02T16:20:03Z,28.56,1015.0,-12.89
2026-02-02T16:21:03Z,28.51,1015.05,-14.02
2026-02-02T16:22:03Z,28.62,1014.89,-15.43
2026-02-02T16:23:03Z,28.54,1015.08,-15.99
2026-02-02T16:24:03Z,28.5,1015.05,-14.92
2026-02-02T16:25:03Z,28.54,1015.07,-14.43
2026-02-02T16:26:03Z,28.52,1015.09,-15.59
2026-02-02T16:27:03Z,28.49,1015.06,-14.08
2026-02-02T16:28:04Z,28.58,1015.14,-15.91
2026-02-02T16:29:04Z,28.54,1015.07,-14.28
2026-02-02T16:30:04Z,28.52,1014.97,-14.73
2026-02-02T16:31:04Z,28.45,1015.05,-16.39
2026-02-02T16:32:04Z,28.47,1015.1,-17.5
2026-02-02T16:33:04Z,28.44,1015.16,-16.5
2026-02-02T16:34:04Z,28.57,1015.26,-16.28
2026-02-02T16:35:04Z,28.45,1015.11,-15.16
2026-02-02T16:36:05Z,28.44,1015.21,-15.41
2026-02-02T16:37:05Z,28.41,1015.15,-15.34
2026-02-02T16:38:05Z,28.52,1015.23,-15.69
2026-02-02T16:39:05Z,28.51,1015.1,-14.45
2026-02-02T16:40:05Z,28.66,1015.14,-15.54
2026-02-02T16:41:05Z,28.67,1015.19,-14.83
2026-02-02T16:42:05Z,28.65,1015.13,-16.61
2026-02-02T16:43:05Z,28.69,1015.13,-13.77
2026-02-02T16:44:06Z,28.67,1015.28,-16.44
2026-02-02T16:45:06Z,28.82,1015.26,-16.02
2026-02-02T16:46:06Z,28.68,1015.12,-16.38
2026-02-02T16:47:06Z,28.72,1015.36,-16.12
2026-02-02T16:48:06Z,28.75,1015.18,-17.62
2026-02-02T16:49:06Z,28.74,1015.31,-16.23
2026-02-02T16:50:06Z,28.82,1015.11,-16.78
2026-02-02T16:51:06Z,28.78,1015.09,-15.61
2026-02-02T16:52:07Z,28.8,1015.21,-14.52
2026-02-02T16:53:07Z,28.76,1015.21,-15.54
2026-02-02T16:54:07Z,28.74,1015.37,-16.28
2026-02-02T16:55:07Z,28.79,1015.29,-16.06
2026-02-02T16:56:07Z,28.78,1015.13,-16.24
2026-02-02T16:57:07Z,28.69,1015.11,-15.41
2026-02-02T16:58:07Z,28.8,1015.28,-16.96
2026-02-02T16:59:07Z,28.79,1015.21,-16.08
2026-02-02T17:00:08Z,28.76,1015.07,-16.93
2026-02-02T17:01:08Z,28.79,1015.24,-15.87
2026-02-02T17:02:08Z,28.73,1015.31,-15.99
2026-02-02T17:03:08Z,28.79,1015.25,-16.14
2026-02-02T17:04:08Z,28.78,1015.23,-16.37
2026-02-02T17:05:08Z,28.84,1015.31,-16.83
2026-02-02T17:06:08Z,28.71,1015.01,-16.1
2026-02-02T17:07:08Z,28.68,1015.35,-16.74
2026-02-02T17:08:09Z,28.74,1015.12,-15.72
2026-02-02T17:09:09Z,28.61,1015.28,-16.06
2026-02-02T17:10:09Z,28.65,1015.13,-15.16
2026-02-02T17:11:09Z,28.61,1015.11,-15.2
2026-02-02T17:12:09Z,28.61,1015.0,-16.55
2026-02-02T17:13:09Z,28.74,1015.05,-16.51
2026-02-02T17:14:09Z,28.68,1015.11,-14.73
2026-02-02T17:15:09Z,28.66,1015.14,-16.85
2026-02-02T17:16:10Z,28.61,1015.15,-14.49
2026-02-02T17:17:10Z,28.64,1015.27,-16.18
2026-02-02T17:18:10Z,28.69,1015.18,-16.49
2026-02-02T17:19:10Z,28.52,1015.15,-17.54
2026-02-02T17:20:10Z,28.55,1015.3,-15.79
2026-02-02T17:21:10Z,28.52,1015.26,-17.23
2026-02-02T17:22:10Z,28.46,1015.24,-17.54
2026-02-02T17:23:10Z,28.56,1015.28,-17.06
2026-02-02T17:24:11Z,28.46,1015.22,-16.6
2026-02-02T17:25:11Z,28.49,1015.25,-17.24
2026-02-02T17:26:11Z,28.5,1015.32,-17.86
2026-02-02T17:27:11Z,28.52,1015.15,-16.77
2026-02-02T17:28:11Z,28.52,1015.19,-16.97
2026-02-02T17:29:11Z,28.54,1015.44,-17.06
2026-02-02T17:30:11Z,28.57,1015.35,-17.92
2026-02-02T17:31:11Z,28.56,1015.17,-16.56
2026-02-02T17:32:12Z,28.57,1015.27,-17.23
2026-02-02T17:33:12Z,28.52,1015.22,-17.51
2026-02-02T17:34:12Z,28.61,1015.34,-17.35
2026-02-02T17:35:12Z,28.59,1015.41,-15.43
2026-02-02T17:36:12Z,28.48,1015.29,-17.75
2026-02-02T17:37:12Z,28.57,1015.26,-17.09
2026-02-02T17:38:12Z,28.58,1015.27,-16.78
2026-02-02T17:39:12Z,28.5,1015.23,-16.39
2026-02-02T17:40:13Z,28.5,1015.18,-16.98
2026-02-02T17:41:13Z,28.48,1015.17,-16.78
2026-02-02T17:42:13Z,28.57,1015.43,-16.76
2026-02-02T17:43:13Z,28.61,1015.21,-17.28
2026-02-02T17:44:13Z,28.57,1015.24,-17.36
2026-02-02T17:45:13Z,28.57,1015.27,-16.84
2026-02-02T17:46:13Z,28.57,1015.25,-17.44
2026-02-02T17:47:13Z,28.59,1015.22,-16.81
2026-02-02T17:48:14Z,28.54,1015.25,-16.6
2026-02-02T17:49:14Z,28.52,1015.37,-17.34
2026-02-02T17:50:14Z,28.54,1015.16,-15.9
2026-02-02T17:51:14Z,28.44,1015.17,-15.85
2026-02-02T17:52:14Z,28.58,1015.42,-15.04
2026-02-02T17:53:14Z,28.43,1015.06,-15.89
2026-02-02T17:54:14Z,28.46,1015.13,-17.81
2026-02-02T17:55:14Z,28.49,1015.27,-16.64
2026-02-02T17:56:15Z,28.57,1015.18,-16.54
2026-02-02T17:57:15Z,28.46,1015.3,-15.79
2026-02-02T17:58:15Z,28.49,1015.2,-18.32
2026-02-02T17:59:15Z,28.53,1015.33,-17.24
2026-02-02T18:00:15Z,28.58,1015.12,-16.63
2026-02-02T18:01:15Z,28.39,1015.27,-16.46
2026-02-02T18:02:15Z,28.33,1015.27,-16.19
2026-02-02T18:03:15Z,28.44,1015.3,-16.03
2026-02-02T18:04:16Z,28.45,1015.16,-15.24
2026-02-02T18:05:16Z,28.46,1015.16,-15.79
2026-02-02T18:06:16Z,28.43,1015.25,-16.85
2026-02-02T18:07:16Z,28.42,1015.14,-15.56
2026-02-02T18:08:16Z,28.51,1015.15,-17.66
2026-02-02T18:09:16Z,28.48,1015.09,-15.31
2026-02-02T18:10:16Z,28.51,1015.19,-16.66
2026-02-02T18:11:16Z,28.5,1015.14,-14.71
2026-02-02T18:12:17Z,28.47,1015.2,-16.34
2026-02-02T18:13:17Z,28.38,1015.07,-15.05
2026-02-02T18:14:17Z,28.47,1015.1,-13.64
2026-02-02T18:15:17Z,28.38,1015.09,-13.96
2026-02-02T18:16:17Z,28.38,1015.14,-13.96
2026-02-02T18:17:17Z,28.41,1015.15,-15.54
2026-02-02T18:18:17Z,28.38,1014.93,-15.93
2026-02-02T18:19:17Z,28.35,1015.03,-16.43
2026-02-02T18:20:17Z,28.44,1015.24,-15.79
2026-02-02T18:21:18Z,28.34,1015.09,-15.75
2026-02-02T18:22:18Z,28.35,1015.06,-14.13
2026-02-02T18:23:18Z,28.35,1015.02,-14.52
2026-02-02T18:24:18Z,28.46,1015.13,-14.26
2026-02-02T18:25:18Z,28.35,1015.12,-14.77
2026-02-02T18:26:18Z,28.34,1015.14,-15.92
2026-02-02T18:27:18Z,28.35,1015.04,-14.71
2026-02-02T18:28:18Z,28.31,1014.99,-15.79
2026-02-02T18:29:19Z,28.4,1014.84,-14.94
2026-02-02T18:30:19Z,28.34,1014.98,-14.16
2026-02-02T18:31:19Z,28.38,1014.9,-13.85
2026-02-02T18:32:19Z,28.35,1014.89,-17.32
2026-02-02T18:33:19Z,28.37,1014.95,-15.26
2026-02-02T18:34:19Z,28.36,1014.93,-14.19
2026-02-02T18:35:19Z,28.3,1014.83,-12.87
2026-02-02T18:36:19Z,28.33,1015.0,-13.56
2026-02-02T18:37:20Z,28.28,1014.65,-13.12
2026-02-02T18:38:20Z,28.28,1014.84,-13.68
2026-02-02T18:39:20Z,28.28,1014.85,-12.92
2026-02-02T18:40:20Z,28.24,1014.79,-12.29
2026-02-02T18:41:20Z,28.26,1014.88,-12.11
2026-02-02T18:42:20Z,28.19,1014.92,-10.89
2026-02-02T18:43:20Z,28.31,1014.86,-12.69
2026-02-02T18:44:20Z,28.28,1014.8,-12.84
2026-02-02T18:45:21Z,28.23,1014.85,-13.37
2026-02-02T18:46:21Z,28.3,1014.73,-12.22
2026-02-02T18:47:21Z,28.38,1014.61,-13.19
2026-02-02T18:48:21Z,28.2,1014.69,-12.82
2026-02-02T18:49:21Z,28.25,1014.7,-13.39
2026-02-02T18:50:21Z,28.2,1014.7,-11.95
2026-02-02T18:51:21Z,28.13,1014.91,-13.22
2026-02-02T18:52:21Z,28.27,1014.59,-12.42
2026-02-02T18:53:22Z,28.24,1014.58,-12.34
2026-02-02T18:54:22Z,28.25,1014.61,-11.26
2026-02-02T18:55:22Z,28.33,1014.6,-11.08
2026-02-02T18:56:22Z,28.22,1014.77,-11.45
2026-02-02T18:57:22Z,28.25,1014.61,-12.61
2026-02-02T18:58:22Z,28.23,1014.7,-13.19
2026-02-02T18:59:22Z,28.26,1014.66,-11.85
2026-02-02T19:00:22Z,28.2,1014.94,-12.49
2026-02-02T19:01:23Z,28.22,1014.68,-12.21
2026-02-02T19:02:23Z,28.18,1014.71,-11.84
2026-02-02T19:03:23Z,28.14,1014.8,-12.49
2026-02-02T19:04:23Z,28.19,1014.63,-10.69
